search_str,new_display_name,ch_no
101 NFL Channel,NFL Channel,
120 ABC News Live,ABC NEWS LIVE,
121 NBC News NOW,NBC NEWS NOW,
122 CBS News 24/7,CBS NEWS 24/7,
123 LiveNOW from FOX,LiveNOW from FOX,
123 LiveNOW from FOX,LiveNOW from FOX,
125 CNN Headlines,CNN Headlines,
138 BBC News,BBC NEWS,346
145 CNN Originals,CNN Originals,
152 WABC ABC7 New York,ABC (WABC) NEW YORK HD,7
154 FOX 5 Washington D.C.,FOX (WNYW) NEW YORK,11
1950 CNN Headlines,CNN Headlines,
201 ION,ION,12
201 OUTDOOR TV,Outdoor Channel HD,606
202 ION Plus,ION Plus,
220 Paramount Movie Channel,Paramount Movie Channel,
224 GET,getTV,83
238 Bounce XL,Bounce XL HD,82
269 Grit Xtra,Grit,81
310 MotorTrend FAST TV,Discovery Turbo,281
341 Spike Outdoors,Spike Outdoors,
380 ION Mystery,ION Mystery,
391 A&E Crime 360,A&E Crime 360,
407 Fox Soul,FOX Soul,
443 NHL,NHL Network HD,215
449 PGA TOUR,PGA Tour,
458 Fox Sports,FOX Sports 1,219
459 NBC Sports NOW,NBC Sports NOW,
465 FanDuel TV Extra,Fanduel TV Extra,
466 ESPN 8: The Ocho,ESPN8: The Ocho,
467 CBS Sports HQ,CBS Sports HQ,
468 MSG SportsZone,MSG SportsZone,
469 NESN Nation,NESN Nation,
475 HBO Boxing,HBO Boxing,
479 MavTV Select,RACER Select,214
484 Red Bull TV,Red Bull TV,
486 GOLFPASS,GolfPass,
512 Comedy Central Pluto TV,Comedy Central HD,249
514 Slightly Off IFC,IFC HD,33
6abc Philadelphia,ABC (WABC) NEW YORK,7
801 CNN Xpress,CNN Xpress,
812 TuDiscovery,Discovery Turbo,281
A&E US Eastern Feed HD,A&E HD,265
A&E US Eastern Feed SD,A&E SD,265
ABC,ABC (WABC) NEW YORK,7
ABC (KABC) Los Angeles HD,ABC (KABC) LOS ANGELES HD,6
ABC (KABC) Los Angeles SD,ABC (KABC) LOS ANGELES SD,6
ABC (WSOC),ABC (WABC) NEW YORK,7
ABC 10 (KAKE) WICHITA,ABC (KABC) LOS ANGELES,6
ABC 10 (KGTV) SAN DIEGO,ABC (KABC) LOS ANGELES,6
